,,,,,INFORMACIÓN DEL CLIENTE,,,,,,,,,,,,,
ESTADO DE LA OPERACIÓN,,,,,,,Permanencia,,,,,,,,,,,
Identificación,,Días de,Estado de,,Actividad,Saldo de la,en la,Número de,Monto del,Tasa de,Ingreso,,Frecuencia,Dependencia,Tipo de,Profesión del,Bienes,
del crédito,Saldo vigente,atraso,crédito,,económica,cuota,vivienda,cuotas,crédito,interés,mensual,Sexo,de pago,ocupacional,cuota,cliente,raíces,Automóviles
227,"68047,60 ",0,0,,6,244.54,60,60,70000,15,"890,69",2,1,2,2,4,0,1
228,"68047,60 ",0,0,,6,244.54,72,60,70000,15,"1048,28",2,1,2,2,4,0,1
229,"68047,60 ",0,0,,6,244.54,48,60,70000,15,"620,00",2,1,2,2,4,0,1
230,"54179,07 ",0,0,,6,569.25,48,36,103000,21,"8372,66",2,1,2,2,4,0,0
231,"54179,07 ",0,0,,6,569.25,70,36,103000,21,"6915,19",2,1,2,2,4,0,0
232,"24525,17 ",0,0,,6,146.02,120,36,25000,"25,5","514,04",1,1,2,2,4,0,0
233,"4337,62 ",567,1,,10,0,300,18,5000,25,"722,03",1,1,2,2,5,0,1
234,"13306,11 ",0,0,,9,71.22,60,48,15500,22,"242,85",2,1,1,2,3,0,0
235,"13306,11 ",0,0,,9,71.22,72,48,15500,22,"321,00",2,1,1,2,3,0,0
236,"13306,11 ",0,0,,9,71.22,73,48,15500,22,"293,00",2,1,1,2,3,0,0
237,"24343,07 ",0,0,,8,128.83,288,48,26300,"25,5","364,25",2,1,2,2,5,0,1
238,"20374,28 ",685,1,,10,95.94,12,60,27000,"13,43","226,79",1,1,1,2,3,0,0
239,"237,02 ",136,1,,6,0,60,24,2500,"19,84","372,89",2,1,2,2,4,0,0
240,"36151,87 ",0,0,,8,223.26,60,36,41000,"19,5","749,00",1,1,2,2,5,0,1
241,"36151,87 ",0,0,,8,223.26,71,36,41000,"19,5","1063,00",1,1,2,2,5,0,1
242,"76368,41 ",0,0,,6,560.57,18,36,104000,19,"3975,49",2,1,2,2,4,0,0
243,"2673,23 ",0,0,,10,84.06,12,18,8000,32,"306,89",1,1,1,2,3,0,0
244,"13478,97 ",0,0,,10,79.92,24,39,15000,22,"391,00",2,1,1,2,3,0,0
245,"374,61 ",0,0,,10,67.77,12,36,1700,"18,08","141,43",1,1,1,2,3,0,0
246,"1682,82 ",19,0,,8,185.19,60,36,4900,"16,53","857,00",1,1,2,2,5,0,1
247,"3727,04 ",0,0,,3,30.96,120,36,4800,32,"142,00",1,1,1,2,3,0,0
248,"46388,81 ",0,0,,6,1177.82,60,12,70000,21,"3579,56",2,3,2,2,4,0,0
249,"46388,81 ",0,0,,6,1177.82,72,12,70000,21,"3700,13",2,3,2,2,4,0,0
250,"12869,91 ",0,0,,7,123.15,336,36,22000,22,"549,64",1,1,2,2,4,0,1
